# Generated from ghcr.io/zetaoss/zbase:0.2.1 (base: mediawiki:1.43.9-fpm).
SOURCE   EXTENSION              VERSION  IMAGE
bundled  AbuseFilter            -        mediawiki:1.43.9-fpm
bundled  CategoryTree           -        mediawiki:1.43.9-fpm
bundled  Cite                   -        mediawiki:1.43.9-fpm
bundled  CiteThisPage           -        mediawiki:1.43.9-fpm
bundled  CodeEditor             -        mediawiki:1.43.9-fpm
bundled  ConfirmEdit            1.6.0    mediawiki:1.43.9-fpm
bundled  DiscussionTools        0.0.0    mediawiki:1.43.9-fpm
bundled  Echo                   -        mediawiki:1.43.9-fpm
bundled  Gadgets                -        mediawiki:1.43.9-fpm
bundled  ImageMap               -        mediawiki:1.43.9-fpm
bundled  InputBox               0.3.0    mediawiki:1.43.9-fpm
bundled  Interwiki              3.2      mediawiki:1.43.9-fpm
bundled  Linter                 -        mediawiki:1.43.9-fpm
bundled  LoginNotify            0.1      mediawiki:1.43.9-fpm
bundled  Math                   -        mediawiki:1.43.9-fpm
bundled  MultimediaViewer       -        mediawiki:1.43.9-fpm
bundled  Nuke                   -        mediawiki:1.43.9-fpm
bundled  OATHAuth               0.5.0    mediawiki:1.43.9-fpm
bundled  PageImages             -        mediawiki:1.43.9-fpm
bundled  ParserFunctions        1.6.1    mediawiki:1.43.9-fpm
bundled  PdfHandler             -        mediawiki:1.43.9-fpm
bundled  Poem                   -        mediawiki:1.43.9-fpm
bundled  ReplaceText            1.8      mediawiki:1.43.9-fpm
bundled  Scribunto              -        mediawiki:1.43.9-fpm
bundled  SecureLinkFixer        -        mediawiki:1.43.9-fpm
bundled  SpamBlacklist          -        mediawiki:1.43.9-fpm
bundled  SyntaxHighlight_GeSHi  2.0      mediawiki:1.43.9-fpm
bundled  TemplateData           0.1.2    mediawiki:1.43.9-fpm
bundled  TextExtracts           -        mediawiki:1.43.9-fpm
bundled  Thanks                 1.2.0    mediawiki:1.43.9-fpm
bundled  TitleBlacklist         1.5.0    mediawiki:1.43.9-fpm
bundled  VisualEditor           -        mediawiki:1.43.9-fpm
bundled  WikiEditor             0.5.4    mediawiki:1.43.9-fpm
zbase    AntiSpoof              -        zbase:0.2.1
zbase    AWS                    0.14.0   zbase:0.2.1
zbase    CharInsert             -        zbase:0.2.1
zbase    CheckUser              2.5      zbase:0.2.1
zbase    EmbedVideo             4.1.0    zbase:0.2.1
zbase    intersection           1.7.0    zbase:0.2.1
zbase    MsUpload               14.2     zbase:0.2.1
zbase    Score                  0.3.0    zbase:0.2.1
zbase    TemplateStyles         1.0      zbase:0.2.1
zbase    UserMerge              1.10.2   zbase:0.2.1
zbase    Widgets                1.6.0    zbase:0.2.1
